Index,Airline Name,From,To,Departure,Arrival,Return Airline Name,Return From,Return To,Return Departure,Return Arrival,Price
1,British Airways,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,159"
2,Delta,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Delta,London Heathrow,New York John F Kennedy Intl,8:10 pm,11:00 pm,$790
3,Norse Atlantic UK,New York John F Kennedy Intl,London Gatwick,6:20 pm,6:20 am,Scandinavian Airlines,London Heathrow,Newark,5:00 pm,1:15 pm,$474
4,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,6:00 pm,6:25 am,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,8:10 pm,11:00 pm,$790
5,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,8:10 pm,11:00 pm,$790
6,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,7:00 pm,7:15 am,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,8:10 pm,11:00 pm,$790
7,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,12:25 pm,3:30 pm,$790
8,United Airlines,Newark,London Heathrow,8:20 am,8:40 pm,United Airlines,London Heathrow,Newark,3:20 pm,6:30 pm,$870
9,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,12:55 pm,4:00 pm,$790
10,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,6:50 pm,9:29 pm,$860
11,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,4:50 pm,7:40 pm,$860
12,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,6:00 pm,6:25 am,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,6:50 pm,9:29 pm,$860
13,British Airways,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,$887
14,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,$887
15,British Airways,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,$887
16,JetBlue,New York John F Kennedy Intl,London Heathrow,8:31 am,8:45 pm,JetBlue,London Heathrow,New York John F Kennedy Intl,8:15 am,11:23 am,$960
17,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,4:05 pm,7:40 pm,$970
18,British Airways,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,$959
19,British Airways,New York John F Kennedy Intl,London Heathrow,6:30 pm,6:30 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,$959
20,British Airways,New York John F Kennedy Intl,London Heathrow,6:10 pm,6:20 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,$963
21,United Airlines,Newark,London Heathrow,8:20 am,8:40 pm,SWISS,London City,New York John F Kennedy Intl,9:20 am,4:35 pm,$765
22,British Airways,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,$987
