Index,Airline Name,From,To,Departure,Arrival,Return Airline Name,Return From,Return To,Return Departure,Return Arrival,Price
1,American Airlines,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,American Airlines,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,239"
2,Delta,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Delta,London Heathrow,New York John F Kennedy Intl,8:10 pm,11:00 pm,$930
3,Norse Atlantic UK,New York John F Kennedy Intl,London Gatwick,6:20 pm,6:20 am,Scandinavian Airlines,London Heathrow,Newark,5:00 pm,1:15 pm,$487
4,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,4:05 pm,7:40 pm,$930
5,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,6:00 pm,6:25 am,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,8:10 pm,11:00 pm,$930
6,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,8:10 pm,11:00 pm,$930
7,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,4:50 pm,7:40 pm,$930
8,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,6:50 pm,9:29 pm,$930
9,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,7:00 pm,7:15 am,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,8:10 pm,11:00 pm,$930
10,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,6:00 pm,6:25 am,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,6:50 pm,9:29 pm,$930
11,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,12:55 pm,4:00 pm,$930
12,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,12:25 pm,3:30 pm,$930
13,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
14,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,8:10 am,8:00 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,10:55 am,1:55 pm,"$1,040"
15,British Airways,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
16,British Airways,New York John F Kennedy Intl,London Heathrow,6:30 pm,6:30 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
17,British Airways,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
18,British Airways,Newark,London Heathrow,9:25 pm,9:25 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
19,British Airways,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
20,British Airways,New York John F Kennedy Intl,London Heathrow,11:10 pm,11:15 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
21,British Airways,New York John F Kennedy Intl,London Heathrow,6:10 pm,6:20 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
22,British Airways,New York John F Kennedy Intl,London Heathrow,8:05 pm,8:15 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
23,British Airways,New York John F Kennedy Intl,London Heathrow,9:30 pm,9:40 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
24,British Airways,New York John F Kennedy Intl,London Heathrow,10:55 pm,11:05 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
25,British Airways,New York John F Kennedy Intl,London Heathrow,7:30 pm,7:45 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
26,British Airways,New York John F Kennedy Intl,London Heathrow,8:55 pm,9:10 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
27,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,4:30 pm,8:00 am,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,8:10 pm,11:00 pm,$871
28,British Airways,New York John F Kennedy Intl,London Heathrow,7:30 pm,7:45 am,British Airways,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,010"
29,United Airlines,Newark,London Heathrow,8:20 am,8:40 pm,United Airlines,London Heathrow,Newark,12:00 pm,3:10 pm,"$1,199"
30,British Airways,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,153"
31,United Airlines,Newark,London Heathrow,8:20 am,8:40 pm,United Airlines,London Heathrow,Newark,1:00 pm,4:10 pm,"$1,199"
32,British Airways,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,153"
33,British Airways,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,153"
34,British Airways,New York John F Kennedy Intl,London Heathrow,6:30 pm,6:30 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,153"
35,British Airways,New York John F Kennedy Intl,London Heathrow,6:30 pm,6:30 am,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,153"
36,British Airways,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,153"
37,British Airways,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,153"
38,British Airways,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,153"
39,British Airways,New York John F Kennedy Intl,London Heathrow,8:05 pm,8:15 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,158"
40,British Airways,New York John F Kennedy Intl,London Heathrow,8:05 pm,8:15 am,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,158"
41,British Airways,New York John F Kennedy Intl,London Heathrow,8:55 pm,9:10 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,158"
42,British Airways,New York John F Kennedy Intl,London Heathrow,8:55 pm,9:10 am,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,158"
43,Iberia,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,233"
44,Iberia,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,Iberia,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,234"
45,Finnair,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,Finnair,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,233"
46,United Airlines,Newark,London Heathrow,8:20 am,8:40 pm,United Airlines,London Heathrow,Newark,3:20 pm,6:30 pm,"$1,226"
